date,description,amount
07/01/23,MILANO 286594112425874 NEW YORK NY INFO@MILANOMARKETNYC.COM,20.93
07/02/23,RAY'S CANDY STORE New York NY squareup.com/receipts,7.62
07/02/23,AplPay CHIPOTLE 1122 0000 NEW YORK NY 212-580-6058,14.92
07/03/23,TST* DAILY PROVISIONS - U 300529779 NEW YORK NY 2122283585,14.70
07/03/23,AplPay TST* WILLIAMSBURG PIZZA - 00035972 BROOKLYN NY RESTAURANT,2.50
07/03/23,AplPay ROME TO BROOKLYN PIZZ BROOKLYN NY RESTAURANT,4.90
07/03/23,AplPay WILLIAMSBURG ORGANIC DELI 055630000 BROOKLYN NY AHMED.ALSAEDI95@GMAIL.COM,5.20
07/04/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG W1QE NEW YORK DE RESTAURANT,4.34
07/04/23,SHAKE SHACK Brooklyn NY squareup.com/receipts,14.68
07/04/23,MIDORIYA BROOKLYN NY 718-599-4690,28.67
07/04/23,TEN ICHI MART & DELI BROOKLYN NY 347-889-7722,91.05
07/05/23,=ABSOLUTEPOWERGYM 718-387-4711 NY 718-387-4711,65.31
07/05/23,"AplPay ICHIRAN USA., INC. Brooklyn NY squareup.com/receipts",43.55
07/05/23,TST* GAONNURI 00023635 NEW YORK NY RESTAURANT,200.81
07/06/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG PHFQ NEW YORK DE RESTAURANT,5.43
07/06/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG 1DIZ NEW YORK DE RESTAURANT,4.99
07/08/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG U14P NEW YORK DE RESTAURANT,5.43
07/09/23,AplPay IL LABORATORIO DEL GELATO New York NY squareup.com/receipts,4.75
07/10/23,OZZIE S FRESH MARKET #236 000002362 BROOKLYN NY 7183886938,5.48
07/10/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG 6PYD NEW YORK DE RESTAURANT,4.99
07/12/23,AplPay 10023 CAVA UNION SQU NY NY RESTAURANT,18.45
07/13/23,AplPay CHIPOTLE 1359 0000 NEW YORK NY 212-260-0641,15.13
07/13/23,AplPay MCDONALD'S F11012 000000000314630 BROOKLYN NY 6316670434,6.41
07/14/23,AplPay GOTHAM ENTERPRISE SFO - PEETS COFFE San Francisco CA squareup.com/receipts,5.16
07/14/23,AplPay HUDSON-DUNKIN ST1710 1710 JAMAICA NY 714083128 11430,19.57
07/16/23,AplPay BUN MEE 650000011089086 SAN FRANCISCO CA 6508218307,37.48
07/17/23,BIRRIELANDIA 0000 ASTORIA NY 917-538-6394,14.57
07/18/23,TST* SPICY MOON VEGETARIA 00042187 NEW YORK NY RESTAURANT,21.49
07/18/23,AplPay MCDONALD'S NEW YORK NY 2128320447,5.98
07/21/23,UBER EATS help.uber.com CA D5V54WQV 94103,21.12
07/21/23,AplPay NYCT PAYGO NEW YORK NY LOCAL TRANSPORTATION,2.75
07/22/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG WO38 NEW YORK DE RESTAURANT,5.43
07/23/23,AplPay TOO GOOD TO GO INC.*TOOGOODTOG D2E7 NEW YORK DE RESTAURANT,5.43
