date,description,amount
06/09/23,ONAMENU.COM ALLSTON MA +17819753667,59.41
06/10/23,TST* SUZUME 00087975 BROOKLYN NY RESTAURANT,102.56
06/10/23,TST* SUZUME 00087975 BROOKLYN NY RESTAURANT,22.86
06/10/23,AplPay MCDONALD'S F7473 000000000072699 DARIEN CT 2036561769,6.75
06/12/23,ABSOLUTE POWER CORP 554630113507894 BROOKLYN NY MIGUEL.ABSOLUTEPOWER@GMAI,107.72
06/13/23,CHATGPT SUBSCRIPTION SAN FRANCISCO CA +14158799686,20.00
06/13/23,KIEHL'S ECOMM 800-543-4572 NJ COSMETICS,48.99
06/14/23,SHAKE SHACK New York NY squareup.com/receipts,14.35
06/16/23,AplPay CALVIN KLEIN NEW YORK NY FAMILY CLOTHING,15.30
06/18/23,AplPay WHOLEFDS WBG#10487 000010487 BROOKLYN NY 6303692853,32.85
06/19/23,MING WONG RESTAURANT CHICAGO IL +13127305592,49.01
06/19/23,TRADER JOE S #538 000000538 NEW YORK NY 6265993700,7.88
06/22/23,AplPay TST* SAUCE PIZZERIA - MOY 300633907 NEW YORK NY 9172096177,5.44
06/23/23,Uber Trip help.uber.com CA R2N5LTEX 20001,10.90
